City,Country,Date,Lat,Lng,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
Dalvik,IS,1586644693,65.97,-18.53,75,69,33.8,27.51
Beringovskiy,RU,1586644693,63.05,179.32,95,94,14.23,10.51
Chervona Sloboda,UA,1586644693,49.38,32.15,0,72,37.74,8.88
Tasiilaq,GL,1586644478,65.61,-37.64,85,46,28.4,13.87
Östersund,SE,1586644500,63.18,14.64,100,86,37.4,16.11
Kenai,US,1586644479,60.55,-151.26,1,50,39.2,11.41
Pangnirtung,CA,1586644693,66.15,-65.71,92,87,23.81,6.87
East London,ZA,1586644694,-33.02,27.91,85,67,73.74,1.92
Port-Gentil,GA,1586644694,-0.72,8.78,100,87,77.97,15.99
Chokurdakh,RU,1586644694,70.63,147.92,99,98,29.12,13.47
Teya,RU,1586644694,60.38,92.63,0,94,25.83,3.42
Lithakia,GR,1586644694,37.72,20.83,1,87,55.0,2.24
Dingle,PH,1586644694,11.0,122.67,28,71,81.97,4.68
Atbasar,KZ,1586644694,51.8,68.33,99,67,38.75,11.72
Kavaratti,IN,1586644694,10.57,72.64,4,69,84.04,4.61
Tchaourou,BJ,1586644694,8.89,2.6,50,55,81.16,8.55
Menongue,AO,1586644694,-14.66,17.69,40,64,61.38,2.93
Ribeira Grande,PT,1586644694,38.52,-28.7,0,73,61.66,6.62
Kpandae,GH,1586644694,8.47,-0.01,48,56,84.78,7.9
Castro,BR,1586644499,-24.79,-50.01,6,71,56.75,4.76
Alta Floresta,BR,1586644489,-9.88,-56.09,75,100,77.0,4.7
Mount Isa,AU,1586644695,-20.73,139.5,13,19,71.6,8.05
Tiksi,RU,1586644695,71.69,128.87,66,91,8.04,18.25
Saryozek,KZ,1586644695,44.36,77.98,100,39,45.28,1.83
Norman Wells,CA,1586644695,65.28,-126.83,75,53,26.6,10.29
Benjamin Constant,BR,1586644695,-4.38,-70.03,40,88,80.6,10.29
Lüderitz,NA,1586644499,-26.65,15.16,0,87,57.2,5.82
Geraldton,AU,1586644695,-28.77,114.6,90,100,66.2,3.36
Guangyuan,CN,1586644695,32.44,105.82,10,40,57.9,2.48
Kalengwa,ZM,1586644695,-13.47,25.0,92,67,62.56,4.32
Airai,TL,1586644695,-8.93,125.41,96,69,65.73,1.97
Traiguén,CL,1586644695,-38.25,-72.68,0,66,49.32,5.19
Provideniya,RU,1586644696,64.38,-173.3,100,92,32.81,6.91
Zhangaözen,KZ,1586644696,43.3,52.8,39,63,42.44,8.25
Aklavik,CA,1586644696,68.22,-135.01,5,57,21.2,11.41
Melipilla,CL,1586644696,-33.7,-71.22,90,93,68.0,4.7
Sittwe,MM,1586644503,20.15,92.9,6,86,74.93,4.59
Nagapattinam,IN,1586644696,10.77,79.83,0,75,80.19,5.32
Vao,NC,1586644696,-22.67,167.48,35,73,76.5,12.95
Vuktyl,RU,1586644696,63.86,57.31,93,94,16.47,2.8
Macao,MO,1586644513,22.2,113.55,40,82,66.0,18.34
Pisco,PE,1586644489,-13.7,-76.22,0,30,75.0,6.93
Bambous Virieux,MU,1586644465,-20.34,57.76,75,94,78.01,12.75
Chui,UY,1586644697,-33.7,-53.46,17,76,62.35,6.42
Hamilton,US,1586644697,39.18,-84.53,1,26,61.0,10.29
Klaksvík,FO,1586644456,62.23,-6.59,100,100,42.8,20.8
Shingū,JP,1586644488,33.73,135.98,100,68,52.74,12.82
Merauke,ID,1586644697,-8.47,140.33,58,71,84.76,7.92
Storsteinnes,NO,1586644697,69.24,19.23,99,85,32.0,17.22
São Filipe,CV,1586644697,14.9,-24.5,93,74,75.38,9.22
Qaanaaq,GL,1586644469,77.48,-69.36,88,72,11.8,3.24
Jamestown,US,1586644697,42.1,-79.24,1,48,46.99,11.41
Brebes,ID,1586644697,-6.87,109.04,49,80,79.68,4.56
Xai-Xai,MZ,1586644697,-25.05,33.64,0,93,68.67,5.86
Batticaloa,LK,1586644697,7.71,81.69,9,82,79.45,1.77
Pedasí,PA,1586644698,7.53,-80.03,19,75,82.2,8.39
Dikson,RU,1586644473,73.51,80.55,100,96,14.09,13.71
Souillac,MU,1586644506,-20.52,57.52,75,94,78.01,12.75
Nabire,ID,1586644698,-3.37,135.48,43,67,85.96,2.62
Kisangani,CD,1586644698,0.52,25.2,96,82,72.82,2.26
Olafsvik,IS,1586644698,64.89,-23.71,54,84,35.37,29.15
Cabo San Lucas,MX,1586644590,22.89,-109.91,75,52,77.0,21.92
Nchelenge,ZM,1586644698,-9.35,28.73,97,63,69.1,7.34
Belle Fourche,US,1586644566,44.67,-103.85,75,100,28.99,16.11
Yumen,CN,1586644698,40.28,97.2,100,23,45.57,5.01
Barrow,US,1586644465,71.29,-156.79,90,78,15.8,12.75
Thompson,CA,1586644513,55.74,-97.86,90,73,23.0,12.75
Nanortalik,GL,1586644699,60.14,-45.24,100,77,36.54,33.8
Puerto Limón,CR,1586644699,10.0,-83.03,75,79,84.99,6.93
Lompoc,US,1586644699,34.64,-120.46,75,72,72.0,13.87
Lavrentiya,RU,1586644699,65.58,-171.0,95,96,32.43,12.46
Avarua,CK,1586644481,-21.21,-159.78,98,88,82.4,4.7
Presidente Epitácio,BR,1586644699,-21.76,-52.12,18,61,69.33,3.74
Nara,JP,1586644699,34.69,135.8,75,81,53.01,3.36
Faanui,PF,1586644486,-16.48,-151.75,46,76,82.58,14.16
Yulara,AU,1586644699,-25.24,130.99,100,28,59.0,4.7
Vila Franca do Campo,PT,1586644509,37.72,-25.43,20,72,59.0,10.29
Poum,NC,1586644699,-20.23,164.02,56,71,79.83,12.17
Codrington,AU,1586644700,-38.27,141.97,97,63,55.85,9.84
Manado,ID,1586644700,1.49,124.85,20,94,73.4,2.24
Tifton,US,1586644700,31.45,-83.51,1,27,77.0,6.93
Esna,EG,1586644700,25.29,32.55,0,39,66.2,4.7
Port Lincoln,AU,1586644479,-34.73,135.87,90,60,58.33,7.74
Zhuhai,CN,1586644700,22.28,113.57,40,82,66.0,18.34
Broome,US,1586644700,42.25,-75.83,1,30,46.99,12.75
Benghazi,LY,1586644700,32.12,20.07,5,66,60.21,9.17
Skjervøy,NO,1586644700,70.03,20.97,100,85,34.52,12.1
Aginskoye,RU,1586644701,51.1,114.53,0,30,51.76,3.53
Mahébourg,MU,1586644701,-20.41,57.7,75,94,78.01,12.75
Saint Paul Harbor,US,1586644701,57.79,-152.41,90,75,41.0,18.34
Santa Cruz de la Sierra,BO,1586644562,-17.8,-63.17,0,37,82.4,5.82
Torbay,CA,1586644476,47.67,-52.73,75,69,36.0,25.28
Kapaa,US,1586644701,22.08,-159.32,1,69,80.6,10.29
Pevek,RU,1586644701,69.7,170.31,44,91,9.79,14.54
Neuquén,AR,1586644434,-38.95,-68.06,33,40,68.0,3.36
Sungai Penuh,ID,1586644701,-2.08,101.38,87,71,68.11,1.79
Bariloche,AR,1586644701,-41.15,-71.31,0,46,51.8,13.87
Upernavik,GL,1586644517,72.79,-56.15,100,88,19.35,1.74
Salalah,OM,1586644701,17.02,54.09,40,74,82.4,9.17
Chicama,PE,1586644463,-7.84,-79.15,63,67,76.19,7.67
Port Elizabeth,ZA,1586644702,-33.92,25.57,92,59,64.4,5.82
Nome,US,1586644513,64.5,-165.41,90,92,28.4,11.41
Fortuna,US,1586644510,40.6,-124.16,75,87,64.0,12.75
Yangi Marg`ilon,UZ,1586644492,40.43,71.72,90,76,53.6,6.93
Dunedin,NZ,1586644499,-45.87,170.5,100,88,55.99,13.4
Grand-Santi,GF,1586644702,4.25,-54.38,71,81,75.38,3.74
Kaoma,ZM,1586644702,-14.78,24.8,98,68,62.47,4.54
Muhos,FI,1586644702,64.81,25.99,70,73,24.8,4.7
Ostrovnoy,RU,1586644702,68.05,39.51,28,93,15.42,12.17
Muli,MV,1586644702,2.92,73.57,5,62,84.78,5.19
Caranavi,BO,1586644703,-15.82,-67.55,51,58,63.88,2.17
Ancud,CL,1586644472,-41.87,-73.82,20,71,50.0,3.36
Dawlatabad,AF,1586644703,36.41,64.91,100,54,65.86,6.8
Saint-Augustin,CA,1586644486,51.23,-58.65,96,98,31.12,5.97
George Town,MY,1586644574,5.41,100.34,20,88,82.4,2.62
Bambanglipuro,ID,1586644703,-7.95,110.28,77,76,79.79,2.39
Huarmey,PE,1586644496,-10.07,-78.15,55,76,73.81,8.3
Makakilo City,US,1586644703,21.35,-158.09,20,69,82.4,8.05
Meulaboh,ID,1586644491,4.14,96.13,47,78,80.38,0.58
Kruisfontein,ZA,1586644703,-34.0,24.73,95,54,61.36,5.97
Halifax,CA,1586644500,44.65,-63.57,90,60,42.01,16.11
Itarema,BR,1586644703,-2.92,-39.92,100,86,79.23,5.5
Moju,BR,1586644703,-1.88,-48.77,75,94,77.0,3.36
Cidreira,BR,1586644703,-30.18,-50.21,4,70,65.75,5.32
Gaza,PS,1586644546,31.5,34.47,0,82,57.2,5.82
Kavieng,PG,1586644491,-2.57,150.8,93,72,83.82,2.33
Nantucket,US,1586644552,41.28,-70.1,20,49,51.01,19.46
Ferme-Neuve,CA,1586644704,46.7,-75.45,73,93,29.66,2.91
Barentu,ER,1586644704,15.11,37.59,29,38,67.66,3.87
Caravelas,BR,1586644515,-17.71,-39.25,37,86,78.49,9.73
Ballangen,NO,1586644704,68.34,16.83,100,74,30.2,11.41
Nagarote,NI,1586644704,12.27,-86.56,75,37,96.8,16.11
Ouadda,CF,1586644704,8.08,22.4,100,69,70.61,3.09
Paramonga,PE,1586644704,-10.67,-77.83,57,75,73.87,8.81
Bethel,US,1586644505,41.37,-73.41,20,25,55.0,14.99
Nan,TH,1586644705,18.83,100.67,57,44,78.89,1.83
Madimba,TZ,1586644705,-10.4,40.33,75,100,73.4,13.87
Saskylakh,RU,1586644705,71.92,114.08,11,90,1.13,12.41
Mezen',RU,1586644705,65.85,44.24,7,96,17.26,5.1
Shimoda,JP,1586644705,34.67,138.95,100,89,51.01,1.99
Anadyr,RU,1586644461,64.75,177.48,4,77,5.0,11.18
Chapada dos Guimarães,BR,1586644705,-15.46,-55.75,8,54,84.2,5.82
Imbituba,BR,1586644705,-28.24,-48.67,40,64,69.8,8.05
La Plata,AR,1586644419,-34.92,-57.95,30,82,68.0,6.93
Rundu,NA,1586644705,-17.93,19.77,83,77,69.8,3.36
Puerto Escondido,MX,1586644616,15.85,-97.07,40,83,84.2,6.93
Akureyri,IS,1586644706,65.68,-18.09,75,69,33.8,27.51
Bonfim,BR,1586644706,3.08,-59.95,79,53,85.05,11.63
Narsaq,GL,1586644706,60.92,-46.05,100,33,44.6,42.5
Muroto-misakicho,JP,1586644706,33.28,134.15,75,87,50.0,10.29
Sehithwa,BW,1586644706,-20.47,22.72,51,51,70.12,2.75
Pangoa,PE,1586644706,-12.12,-73.0,16,66,70.92,0.38
Mackay,AU,1586644706,-21.15,149.2,64,83,79.0,5.82
Chara,RU,1586644706,56.91,118.26,100,56,37.4,2.35
Avera,US,1586644706,33.19,-82.53,1,51,75.2,5.82
Omboué,GA,1586644706,-1.57,9.26,100,92,76.66,12.59
Lishui,CN,1586644706,28.46,119.91,59,60,52.81,7.85
Ouro Fino,BR,1586644706,-22.28,-46.37,5,68,60.73,2.95
Amalāpuram,IN,1586644631,16.58,82.02,0,93,75.2,0.74
Carauari,BR,1586644707,-4.88,-66.9,87,93,76.28,2.64
Cherskiy,RU,1586644707,68.75,161.3,99,96,19.6,14.63
Alice Springs,AU,1586644707,-23.7,133.88,41,38,59.0,4.7
Cayenne,GF,1586644707,4.93,-52.33,20,78,80.6,5.82
San Jerónimo,PE,1586644707,-11.95,-75.28,95,25,53.38,1.12
Balkanabat,TM,1586644707,39.51,54.37,0,59,54.21,3.98
San Rafael,AR,1586644486,-34.62,-68.33,73,29,65.46,10.56
Arrecife,ES,1586644707,28.96,-13.55,20,68,66.2,11.41
Esperance,AU,1586644707,-33.87,121.9,99,60,69.8,19.46
Igarka,RU,1586644707,67.47,86.58,100,97,35.62,19.35
Porto-Vecchio,FR,1586644707,41.59,9.28,0,80,55.4,4.7
Matara,LK,1586644707,5.95,80.54,11,88,76.1,4.09
Bengkulu,ID,1586644488,-3.8,102.27,31,81,79.16,4.65
Juegang,CN,1586644708,32.32,121.19,35,83,48.0,1.99
San Patricio,MX,1586644708,19.22,-104.7,40,74,86.0,23.04
Ponta do Sol,PT,1586644708,32.67,-17.1,75,67,62.6,13.87
Arlit,NE,1586644708,18.74,7.39,4,12,85.03,11.12
Hasaki,JP,1586644708,35.73,140.83,75,93,46.4,8.05
Ilulissat,GL,1586644478,69.22,-51.1,90,73,26.6,3.36
Grindavik,IS,1586644708,63.84,-22.43,40,86,39.2,14.99
Carnarvon,AU,1586644477,-24.87,113.63,14,100,75.2,11.41
Lincoln,US,1586644410,40.8,-96.67,1,33,75.2,5.82
Lethem,GY,1586644708,3.38,-59.8,78,55,84.15,10.07
Pinawa,CA,1586644708,50.15,-95.88,100,82,30.4,10.38
Hambantota,LK,1586644708,6.12,81.12,16,80,79.93,8.79
Nikolskoye,RU,1586644467,59.7,30.79,3,92,28.4,2.98
Bafoulabé,ML,1586644709,13.81,-10.83,29,16,89.56,3.94
Escárcega,MX,1586644709,18.61,-90.75,4,22,97.23,5.26
Tommot,RU,1586644709,58.96,126.29,100,84,34.97,3.44
Getulio Vargas,UY,1586644709,-32.68,-53.55,11,81,60.01,7.99
Katsuura,JP,1586644472,35.13,140.3,75,93,50.0,10.29
Saint Anthony,US,1586644709,45.02,-93.22,1,21,60.8,4.7
Kaitangata,NZ,1586644474,-46.28,169.85,96,56,61.84,10.56
Haikou,CN,1586644709,20.05,110.34,90,88,71.6,13.42
Bintulu,MY,1586644709,3.17,113.03,75,100,75.2,4.7
Palana,RU,1586644710,59.12,159.97,0,86,18.48,4.09
Icó,BR,1586644710,-6.4,-38.86,64,80,76.82,1.99
Huanren,CN,1586644522,41.26,125.37,3,47,46.99,7.83
Graaff-Reinet,ZA,1586644710,-32.25,24.53,33,25,69.89,12.19
Shenjiamen,CN,1586644710,29.96,122.3,28,69,52.59,28.7
Saint-Nazaire,FR,1586644710,47.28,-2.2,0,82,59.0,3.36
Llangefni,GB,1586644710,53.26,-4.31,37,87,53.6,10.29
Cockburn Town,TC,1586644710,21.46,-71.14,0,78,79.41,13.27
City of San Pedro,PH,1586644710,14.35,121.02,75,83,82.4,2.24
Aksarka,RU,1586644710,66.56,67.8,7,90,9.77,3.36
Champerico,GT,1586644527,14.3,-91.92,40,50,95.0,13.87
Kuala Selangor,MY,1586644710,3.35,101.25,20,88,80.6,4.25
Pakokku,MM,1586644711,21.33,95.1,17,44,79.16,1.41
Green River,US,1586644711,41.53,-109.47,90,45,48.2,32.21
Río Gallegos,AR,1586644489,-51.62,-69.22,75,53,50.0,19.46
General Pico,AR,1586644711,-35.66,-63.76,60,58,63.45,8.75
Warrensburg,US,1586644711,38.76,-93.74,90,63,71.6,12.75
Isangel,VU,1586644492,-19.55,169.27,20,61,82.4,3.36
Hargeisa,SO,1586644711,9.56,44.06,29,40,73.63,5.79
Burgersdorp,ZA,1586644711,-31.0,26.33,54,42,62.78,12.41
College,US,1586644711,64.86,-147.8,75,35,42.8,5.82
Berlevåg,NO,1586644711,70.86,29.09,64,92,24.87,6.85
Lao Cai,VN,1586644712,22.48,103.95,90,79,70.68,2.86
Agadez,NE,1586644712,19.75,10.25,31,15,79.29,7.67
Talnakh,RU,1586644488,69.49,88.4,75,80,35.6,33.55
Springfield,US,1586644530,37.22,-93.3,20,52,66.99,24.16
Mendeleyevo,RU,1586644712,56.03,37.22,2,86,30.2,6.71
Hong Kong,HK,1586644481,22.29,114.16,20,68,64.99,18.34
Bonoua,CI,1586644712,5.27,-3.6,82,83,82.4,2.24
Sakaiminato,JP,1586644712,35.55,133.23,90,61,50.0,5.82
Arrondissement de Carcassonne,FR,1586644712,43.25,2.17,90,82,57.2,10.29
Mumbwa,ZM,1586644712,-14.98,27.06,95,65,60.85,3.06
Sabang,ID,1586644712,5.89,95.32,42,74,83.26,6.67
Kabo,CF,1586644713,7.7,18.63,100,69,73.42,5.17
Maniitsoq,GL,1586644713,65.42,-52.9,95,75,37.96,7.2
Petatlán,MX,1586644713,17.52,-101.27,5,66,86.0,10.29
Sangar,RU,1586644713,63.92,127.47,99,94,32.29,7.25
Lafia,NG,1586644624,8.48,8.52,93,68,78.93,2.53
Palmer,US,1586644486,42.16,-72.33,40,31,50.0,21.92
Fort Morgan,US,1586644713,40.25,-103.8,1,10,73.4,5.03
Mosjøen,NO,1586644713,65.84,13.19,100,56,41.0,14.99
Manyana,BW,1586644713,-23.4,21.72,10,41,66.61,5.95
Houston,US,1586644410,29.76,-95.36,90,73,75.99,17.22
Petropavlovsk-Kamchatskiy,RU,1586644714,53.05,158.65,64,93,32.0,2.24
Gamba,GA,1586644714,-2.65,10.0,100,88,77.4,10.69
Umm Kaddadah,SD,1586644462,13.6,26.69,94,15,75.81,15.7
Rawson,AR,1586644714,-43.3,-65.1,0,38,55.98,5.35
Inyonga,TZ,1586644714,-6.72,32.07,68,69,63.63,3.85
Provincia di Cagliari,IT,1586644554,39.24,9.09,0,87,55.99,4.7
Bucksport,US,1586644714,44.57,-68.8,90,41,42.8,11.41
Talaya,RU,1586644714,61.38,152.75,100,87,20.07,2.1
Panjāb,AF,1586644714,34.39,67.02,73,35,34.72,1.86
Ust'-Uda,RU,1586644714,54.17,103.03,92,75,33.55,8.21
Kudahuvadhoo,MV,1586644714,2.67,72.89,5,63,84.42,5.08
Topolobampo,MX,1586644714,25.6,-109.05,40,38,81.0,19.46
Darhan,MN,1586644715,49.49,105.92,86,33,48.99,7.18
Olinda,BR,1586644715,-8.01,-34.86,20,74,84.2,8.05
Flin Flon,CA,1586644715,54.77,-101.86,90,44,21.2,17.22
São José da Coroa Grande,BR,1586644715,-8.9,-35.15,4,78,80.98,8.5
Alofi,NU,1586644715,-19.06,-169.92,98,62,84.2,10.29
Codajás,BR,1586644715,-3.84,-62.06,97,97,73.45,2.77
Sørland,NO,1586644715,67.67,12.69,100,80,34.68,15.35
San Rafael del Sur,NI,1586644715,11.85,-86.44,75,37,96.8,16.11
Dawei,MM,1586644715,14.08,98.2,97,59,78.17,4.0
Inuvik,CA,1586644618,68.35,-133.72,5,44,21.2,11.41
Calama,CL,1586644559,-22.47,-68.93,0,17,71.6,23.04
Ranfurly,NZ,1586644715,-45.13,170.1,100,55,60.01,11.48
Villablino,ES,1586644716,42.94,-6.32,90,87,53.01,5.82
Storforshei,NO,1586644716,66.4,14.52,100,90,25.25,5.17
Kasama,ZM,1586644716,-10.21,31.18,84,67,59.56,2.62
Nelson Bay,AU,1586644716,-32.72,152.15,3,51,63.0,9.17
Talara,PE,1586644716,-4.58,-81.27,79,67,77.63,8.12
Los Llanos de Aridane,ES,1586644716,28.66,-17.92,90,82,66.2,11.41
Dargaville,NZ,1586644716,-35.93,173.88,94,57,71.22,10.16
Youghal,IE,1586644716,51.95,-7.85,20,50,55.0,8.05
Chulumani,BO,1586644716,-16.41,-67.53,65,48,60.55,1.57
Anloga,GH,1586644716,5.79,0.9,20,79,84.2,5.82
Severo-Kuril'sk,RU,1586644494,50.68,156.12,63,93,30.7,8.39
Westport,US,1586644468,41.14,-73.36,1,23,55.99,10.29
Waingapu,ID,1586644505,-9.66,120.26,55,76,79.88,4.61
Leh,IN,1586644717,34.17,77.58,7,19,30.06,2.13
Akdepe,TM,1586644717,42.06,59.38,96,87,51.8,9.17
Korla,CN,1586644717,41.76,86.15,69,42,60.01,3.0
Meriden,US,1586644717,41.54,-72.81,1,25,53.01,8.05
Victoria Point,AU,1586644717,-27.58,153.3,0,43,77.0,5.82
Kinkala,CG,1586644717,-4.36,14.76,100,81,72.27,2.59
Mugumu,TZ,1586644717,-1.85,34.7,74,63,58.8,2.57
Gravdal,NO,1586644717,68.12,13.5,100,82,34.86,11.92
Arrondissement d'Ajaccio,FR,1586644717,42.0,8.92,0,61,55.4,6.93
Nhulunbuy,AU,1586644717,-12.23,136.77,71,77,84.36,11.81
Emerald,AU,1586644717,-23.53,148.17,0,38,73.4,8.05
Shangrao,CN,1586644718,28.45,117.97,14,77,50.36,5.64
Ratnagiri,IN,1586644718,16.98,73.3,3,77,77.41,1.54
Am Timan,TD,1586644718,11.03,20.28,100,31,85.55,5.23
Kajaani,FI,1586644718,64.23,27.73,38,79,19.4,2.24
Egvekinot,RU,1586644506,66.32,-179.17,0,82,18.52,1.45
Birao,CF,1586644718,10.28,22.79,96,23,79.68,2.1
Naze,JP,1586644509,28.37,129.48,75,93,66.2,9.17
Umm Bāb,QA,1586644718,25.21,50.81,40,51,84.99,12.75
Miraflores,MX,1586644718,19.22,-98.81,20,17,93.2,13.87
Dori,BF,1586644718,14.04,-0.03,24,21,86.02,8.46
Bathsheba,BB,1586644718,13.22,-59.52,40,69,80.6,12.75
Valparaíso,CL,1586644571,-33.04,-71.63,100,72,60.8,4.7
Nālūt,LY,1586644718,30.33,10.85,3,29,64.8,15.93
Sherpur,BD,1586644719,25.02,90.02,0,59,73.24,6.31
Hay River,CA,1586644719,60.82,-115.8,40,57,19.4,9.17
Tiarei,PF,1586644719,-17.53,-149.33,99,66,87.8,3.36
Moate,IE,1586644719,53.55,-7.72,98,74,48.0,6.11
Isla Vista,US,1586644457,34.41,-119.86,1,64,72.0,9.17
Maningrida,AU,1586644719,-12.07,134.27,32,79,82.15,7.74
Sola,VU,1586644719,-13.88,167.55,75,74,84.2,12.55
Vanimo,PG,1586644510,-2.67,141.3,62,77,83.46,1.54
Kattivākkam,IN,1586644719,13.22,80.32,40,88,82.99,3.36
Kahului,US,1586644489,20.89,-156.47,40,61,80.6,9.17
Tura,IN,1586644719,25.52,90.22,0,46,71.28,4.85
Gīdam,IN,1586644719,18.98,81.4,0,27,73.65,2.53
Staritsa,RU,1586644720,56.51,34.94,21,88,31.71,8.28
Savannah Bight,HN,1586644720,16.45,-85.85,10,79,82.17,30.58
Asău,RO,1586644720,46.43,26.4,63,52,42.01,2.24
Hays,US,1586644720,30.05,-98.03,90,83,78.01,12.75
San Luis,AR,1586644426,-33.3,-66.34,100,44,64.51,4.36
Bechem,GH,1586644478,7.09,-2.02,68,84,74.68,2.04
Lata,PT,1586644720,40.16,-8.33,75,87,57.99,3.36
Ruteng,ID,1586644720,-8.61,120.47,43,67,68.52,3.18
Natal,BR,1586644685,-5.79,-35.21,40,78,82.4,5.82
San Ignacio,BZ,1586644720,17.16,-89.07,18,37,102.2,4.7
Sibsāgar,IN,1586644720,26.98,94.63,13,44,70.54,1.66
Romanovskaya,RU,1586644720,47.54,42.03,16,78,37.62,7.29
Soyo,AO,1586644720,-6.13,12.37,97,85,80.67,5.26
Sochi,RU,1586644720,43.6,39.73,90,76,51.8,6.71
Colares,PT,1586644721,38.8,-9.45,20,87,57.99,9.17
Taoudenni,ML,1586644721,22.68,-3.98,0,12,85.96,8.7
Lagunas,PE,1586644721,-5.23,-75.68,100,94,73.33,1.03
Tuatapere,NZ,1586644721,-46.13,167.68,56,61,59.0,4.0
Dalbandin,PK,1586644721,28.89,64.41,76,27,74.25,1.39
Kirakira,SB,1586644721,-10.45,161.92,94,70,85.53,7.72
Calabozo,VE,1586644721,8.92,-67.43,93,26,90.66,2.42
Synya,RU,1586644721,65.37,58.04,68,95,12.34,3.67
Port Hedland,AU,1586644721,-20.32,118.57,5,64,73.4,9.17
Maraã,BR,1586644721,-1.83,-65.37,100,97,73.4,2.33
Pokhara,NP,1586644721,28.23,83.98,0,19,62.91,7.23
Paragominas,BR,1586644512,-2.97,-47.48,98,94,75.04,3.06
